Date,wikipedia_pageviews
2017-01-16,14216.0
2017-01-17,16662.0
2017-01-18,15178.0
2017-01-19,14975.0
2017-01-20,12817.0
2017-01-21,10731.0
2017-01-22,11369.0
2017-01-23,14673.0
2017-01-24,13616.0
2017-01-25,12378.0
2017-01-26,12201.0
2017-01-27,12412.0
2017-01-28,12904.0
2017-01-29,11994.0
2017-01-30,14511.0
2017-01-31,13611.0
2017-02-01,13679.0
2017-02-02,13870.0
2017-02-03,13224.0
2017-02-04,11505.0
2017-02-05,12400.0
2017-02-06,13523.0
2017-02-07,13918.0
2017-02-08,13609.0
2017-02-09,14071.0
2017-02-10,12594.0
2017-02-11,10298.0
2017-02-12,11270.0
2017-02-13,12817.0
2017-02-14,12009.0
2017-02-15,12759.0
2017-02-16,13301.0
2017-02-17,14739.0
2017-02-18,13186.0
2017-02-19,11065.0
2017-02-20,12699.0
2017-02-21,14204.0
2017-02-22,13648.0
2017-02-23,14503.0
2017-02-24,16166.0
2017-02-25,18086.0
2017-02-26,17157.0
2017-02-27,15586.0
2017-02-28,16074.0
2017-03-01,17789.0
2017-03-02,19271.0
2017-03-03,40981.0
2017-03-04,26396.0
2017-03-05,18338.0
2017-03-06,20720.0
2017-03-07,17507.0
2017-03-08,16131.0
2017-03-09,16077.0
2017-03-10,19641.0
2017-03-11,16371.0
2017-03-12,14426.0
2017-03-13,16733.0
2017-03-14,19966.0
2017-03-15,17958.0
2017-03-16,17182.0
2017-03-17,16022.0
2017-03-18,18692.0
2017-03-19,19600.0
2017-03-20,23626.0
2017-03-21,21664.0
2017-03-22,20171.0
2017-03-23,20204.0
2017-03-24,18354.0
2017-03-25,16681.0
2017-03-26,18168.0
2017-03-27,18498.0
2017-03-28,16569.0
2017-03-29,14593.0
2017-03-30,14773.0
2017-03-31,14056.0
2017-04-01,12621.0
2017-04-02,12217.0
2017-04-03,15355.0
2017-04-04,17274.0
2017-04-05,14198.0
2017-04-06,13903.0
2017-04-07,13902.0
2017-04-08,11883.0
2017-04-09,11572.0
2017-04-10,13908.0
2017-04-11,17727.0
2017-04-12,14561.0
2017-04-13,14539.0
2017-04-14,12912.0
2017-04-15,10711.0
2017-04-16,11690.0
2017-04-17,19340.0
2017-04-18,24064.0
2017-04-19,16503.0
2017-04-20,15072.0
2017-04-21,14633.0
2017-04-22,11508.0
2017-04-23,12426.0
2017-04-24,16492.0
2017-04-25,17039.0
2017-04-26,15105.0
2017-04-27,15279.0
2017-04-28,14268.0
2017-04-29,11486.0
2017-04-30,16505.0
2017-05-01,14896.0
2017-05-02,17552.0
2017-05-03,17635.0
2017-05-04,19681.0
2017-05-05,17252.0
2017-05-06,18153.0
2017-05-07,18187.0
2017-05-08,20017.0
2017-05-09,24383.0
2017-05-10,24893.0
2017-05-11,25641.0
2017-05-12,40297.0
2017-05-13,48497.0
2017-05-14,43577.0
2017-05-15,92259.0
2017-05-16,89655.0
2017-05-17,60873.0
2017-05-18,46758.0
2017-05-19,39294.0
2017-05-20,34010.0
2017-05-21,32442.0
2017-05-22,72770.0
2017-05-23,79852.0
2017-05-24,70938.0
2017-05-25,74308.0
2017-05-26,62426.0
2017-05-27,42415.0
2017-05-28,33185.0
2017-05-29,36086.0
2017-05-30,35963.0
2017-05-31,34743.0
2017-06-01,32102.0
2017-06-02,28923.0
2017-06-03,26484.0
2017-06-04,24030.0
2017-06-05,29492.0
2017-06-06,36335.0
2017-06-07,34333.0
2017-06-08,28152.0
2017-06-09,26797.0
2017-06-10,23995.0
2017-06-11,27806.0
2017-06-12,36420.0
2017-06-13,33391.0
2017-06-14,29493.0
2017-06-15,29860.0
2017-06-16,28789.0
2017-06-17,23672.0
2017-06-18,23075.0
2017-06-19,25931.0
2017-06-20,29118.0
2017-06-21,33121.0
2017-06-22,31083.0
2017-06-23,26197.0
2017-06-24,24639.0
2017-06-25,22743.0
2017-06-26,26166.0
2017-06-27,36164.0
2017-06-28,46469.0
2017-06-29,35088.0
2017-06-30,26960.0
2017-07-01,23455.0
2017-07-02,25339.0
2017-07-03,26000.0
2017-07-04,25954.0
2017-07-05,27316.0
2017-07-06,28077.0
2017-07-07,24723.0
2017-07-08,21813.0
2017-07-09,22484.0
2017-07-10,26497.0
2017-07-11,28778.0
2017-07-12,27827.0
2017-07-13,28826.0
2017-07-14,25146.0
2017-07-15,20918.0
2017-07-16,21330.0
2017-07-17,25175.0
2017-07-18,29816.0
2017-07-19,31571.0
2017-07-20,33332.0
2017-07-21,27028.0
2017-07-22,23839.0
2017-07-23,29444.0
2017-07-24,29211.0
2017-07-25,27282.0
2017-07-26,27926.0
2017-07-27,28447.0
2017-07-28,24731.0
2017-07-29,22063.0
2017-07-30,35445.0
2017-07-31,25446.0
2017-08-01,54112.0
2017-08-02,78751.0
2017-08-03,32167.0
2017-08-04,25124.0
2017-08-05,27093.0
2017-08-06,27030.0
2017-08-07,35220.0
2017-08-08,42422.0
2017-08-09,37744.0
2017-08-10,35488.0
2017-08-11,32652.0
2017-08-12,30433.0
2017-08-13,39004.0
2017-08-14,53867.0
2017-08-15,49545.0
2017-08-16,42637.0
2017-08-17,39393.0
2017-08-18,39011.0
2017-08-19,35897.0
2017-08-20,37039.0
2017-08-21,38635.0
2017-08-22,42484.0
2017-08-23,40788.0
2017-08-24,38457.0
2017-08-25,36325.0
2017-08-26,32141.0
2017-08-27,29450.0
2017-08-28,33093.0
2017-08-29,36234.0
2017-08-30,38008.0
2017-08-31,41171.0
2017-09-01,38280.0
2017-09-02,34811.0
2017-09-03,34468.0
2017-09-04,40995.0
2017-09-05,40693.0
2017-09-06,40179.0
2017-09-07,40293.0
2017-09-08,33187.0
2017-09-09,29744.0
2017-09-10,29393.0
2017-09-11,32110.0
2017-09-12,37184.0
2017-09-13,51883.0
2017-09-14,47681.0
2017-09-15,46741.0
2017-09-16,36273.0
2017-09-17,34572.0
2017-09-18,40573.0
2017-09-19,39469.0
2017-09-20,35122.0
2017-09-21,31837.0
2017-09-22,29702.0
2017-09-23,23177.0
2017-09-24,24503.0
2017-09-25,27296.0
2017-09-26,27577.0
2017-09-27,29970.0
2017-09-28,27248.0
2017-09-29,25880.0
2017-09-30,22188.0
2017-10-01,24449.0
2017-10-02,26707.0
2017-10-03,27873.0
2017-10-04,29987.0
2017-10-05,28161.0
2017-10-06,25452.0
2017-10-07,23374.0
2017-10-08,24589.0
2017-10-09,29398.0
2017-10-10,30268.0
2017-10-11,33036.0
2017-10-12,46510.0
2017-10-13,54928.0
2017-10-14,41926.0
2017-10-15,38134.0
2017-10-16,42409.0
2017-10-17,38467.0
2017-10-18,35682.0
2017-10-19,35467.0
2017-10-20,40926.0
2017-10-21,45542.0
2017-10-22,41045.0
2017-10-23,47099.0
2017-10-24,44716.0
2017-10-25,41933.0
2017-10-26,39844.0
2017-10-27,37537.0
2017-10-28,31898.0
2017-10-29,34355.0
2017-10-30,43309.0
2017-10-31,48836.0
2017-11-01,56731.0
2017-11-02,75661.0
2017-11-03,65139.0
2017-11-04,50687.0
2017-11-05,48677.0
2017-11-06,52413.0
2017-11-07,52217.0
2017-11-08,55613.0
2017-11-09,55234.0
2017-11-10,54094.0
2017-11-11,44938.0
2017-11-12,45692.0
2017-11-13,55933.0
2017-11-14,53928.0
2017-11-15,47219.0
2017-11-16,50887.0
2017-11-17,63913.0
2017-11-18,49924.0
2017-11-19,45980.0
2017-11-20,59496.0
2017-11-21,63035.0
2017-11-22,54553.0
2017-11-23,48753.0
2017-11-24,47174.0
2017-11-25,45257.0
2017-11-26,67113.0
2017-11-27,125467.0
2017-11-28,146849.0
2017-11-29,264319.0
2017-11-30,214178.0
2017-12-01,169577.0
2017-12-02,113439.0
2017-12-03,109492.0
2017-12-04,163260.0
2017-12-05,161881.0
2017-12-06,180707.0
2017-12-07,333517.0
2017-12-08,347624.0
2017-12-09,215966.0
2017-12-10,192190.0
2017-12-11,244694.0
2017-12-12,232389.0
2017-12-13,203034.0
2017-12-14,166596.0
2017-12-15,130838.0
2017-12-16,118984.0
2017-12-17,126375.0
2017-12-18,139923.0
